time,open,high,low,close,Volume
1513256400,9398.9,9416.16,9391.9,9413.84,NaN
1513260000,9414.46,9415.5,9402.03,9409.94,NaN
1513263600,9409,9410.54,9396.46,9405.58,NaN
1513267200,9405.72,9408.82,9383.02,9383.02,NaN
1513324800,9392.24,9403.99,9386.03,9394.27,NaN
1513328400,9394.46,9404.92,9380.46,9386.02,NaN
1513332000,9386.14,9392.3,9364.19,9390.55,NaN
1513335600,9390.72,9390.72,9369.54,9378.55,NaN
1513339200,9378.58,9395.21,9376.95,9394.48,NaN
1513342800,9394.62,9416.37,9391.81,9402.24,NaN
1513346400,9402.1,9408.5,9391.37,9398.03,NaN
1513350000,9397.73,9413.77,9382.42,9386.6,NaN
1513353600,9386.52,9396.74,9385.46,9394.71,NaN
1513584000,9432.78,9451.01,9429.55,9442.14,NaN
1513587600,9442.11,9447,9421.1,9421.24,NaN
1513591200,9421.45,9433.37,9418.62,9426.89,NaN
1513594800,9425.88,9436.23,9425.88,9433.21,NaN
1513598400,9433.47,9437.17,9421.45,9422.31,NaN
1513602000,9423.32,9430.34,9420.3,9428.45,NaN
1513605600,9428.41,9447.86,9426.37,9447.19,NaN
1513609200,9450.08,9457.39,9440.83,9448.41,NaN
1513612800,9448.04,9460.15,9445.29,9452.32,NaN
1513670400,9452.72,9464.74,9447.95,9456.71,NaN
1513674000,9456.81,9468.84,9448.8,9450.12,NaN
1513677600,9450.96,9457.78,9447.15,9456.17,NaN
1513681200,9455.87,9455.87,9437.58,9437.96,NaN
1513684800,9438.13,9446.26,9434.39,9444.13,NaN
1513688400,9444.26,9447.4,9439.15,9439.49,NaN
1513692000,9438.82,9442.78,9427.76,9440.63,NaN
1513695600,9440.49,9443.91,9419.64,9422.98,NaN
1513699200,9422.88,9422.88,9399.17,9399.17,NaN
1513756800,9392.42,9401.29,9362.46,9397.46,NaN
1513760400,9397.67,9399.93,9381.18,9390.44,NaN
1513764000,9390.47,9405.8,9386.56,9401,NaN
1513767600,9401.03,9401.56,9385.67,9391.98,NaN
1513771200,9392.64,9407.56,9380.61,9387.46,NaN
1513774800,9386.45,9386.54,9369,9372.3,NaN
1513778400,9372.37,9372.66,9349.89,9356.22,NaN
1513782000,9356.34,9360.14,9319.2,9324.62,NaN
1513785600,9325.27,9335.26,9314.83,9314.83,NaN
1513843200,9304.25,9318.21,9288.07,9317.18,NaN
1513846800,9316.88,9339.01,9312.41,9339.01,NaN
1513850400,9339.09,9362.46,9339.09,9361.3,NaN
1513854000,9361.15,9372.66,9357.2,9362.27,NaN
1513857600,9362.33,9370.97,9358.89,9368.81,NaN
1513861200,9367.8,9391.96,9366.66,9385.71,NaN
1513864800,9385.63,9399.54,9378.51,9397.66,NaN
1513868400,9397.69,9433.46,9397.61,9420.6,NaN
1513872000,9421.95,9426.77,9415.79,9424.67,NaN
1513929600,9409.61,9439.11,9404.21,9409.63,NaN
1513933200,9410.64,9421.57,9403.66,9408.12,NaN
1513936800,9408.09,9415.97,9396.51,9397.85,NaN
1513940400,9397.96,9413.44,9396.95,9406.03,NaN
1513944000,9406,9406.03,9396.1,9400.71,NaN
1513947600,9400.78,9414.04,9394.67,9396.1,NaN
1513951200,9395.95,9405.44,9392.54,9400.55,NaN
