time,open,high,low,close,Volume
1513684800,5413.88,5418.2,5413.69,5417.5,NaN
1513688400,5417.68,5418.68,5409.71,5410.23,NaN
1513692000,5410.64,5411.86,5404.93,5407.77,NaN
1513695600,5407.51,5408.42,5387.85,5391.6,NaN
1513699200,5391.85,5393.56,5380.17,5382.33,NaN
1513756800,5377.92,5382.37,5351.48,5381,NaN
1513760400,5380.57,5382.07,5367.16,5372.61,NaN
1513764000,5372.57,5376.5,5367.4,5374.32,NaN
1513767600,5373.77,5373.83,5356.52,5368.94,NaN
1513771200,5368.68,5379.51,5365.68,5368.71,NaN
1513774800,5368.46,5373.16,5366.59,5368.26,NaN
1513778400,5368.21,5370.98,5359.98,5367.47,NaN
1513782000,5368.83,5368.83,5338.03,5343.44,NaN
1513785600,5344.58,5356.15,5344.58,5349.8,NaN
1513843200,5332.39,5339,5323.54,5336.52,NaN
1513846800,5336.5,5344.04,5334.97,5342.64,NaN
1513850400,5343.5,5353.12,5341.98,5348.83,NaN
1513854000,5348.53,5357.42,5348.49,5349.63,NaN
1513857600,5350.02,5354.57,5349.54,5351.09,NaN
1513861200,5351.12,5356.9,5351.12,5355.33,NaN
1513864800,5355.72,5367.84,5354.03,5367.14,NaN
1513868400,5366.56,5389.8,5366.56,5383.41,NaN
1513872000,5383.86,5388.48,5379.09,5383.65,NaN
1513929600,5371,5385.96,5369.52,5373.12,NaN
1513933200,5372.91,5381.27,5372.63,5376.02,NaN
1513936800,5376.46,5377.78,5360.9,5362.23,NaN
1513940400,5362,5370.1,5360.28,5369.05,NaN
1513944000,5368.64,5368.64,5355.44,5359.42,NaN
1513947600,5360.6,5366.05,5358.61,5362.24,NaN
1513951200,5362.13,5373.2,5361.2,5373.2,NaN
1513954800,5372,5373.45,5366.13,5369.62,NaN
1513958400,5369.44,5369.44,5360.91,5362.79,NaN
1514361600,5359.82,5388.14,5359.36,5377.39,NaN
1514365200,5377.65,5377.65,5359.94,5363.7,NaN
1514368800,5363.95,5373.85,5362.75,5369.97,NaN
1514372400,5370.48,5370.7,5352.53,5357.24,NaN
1514376000,5357.78,5361.61,5355.56,5355.77,NaN
1514379600,5355.72,5369.99,5355.34,5369.79,NaN
1514383200,5369.86,5370.24,5363.21,5368.42,NaN
1514386800,5368.18,5374.93,5365.06,5372.28,NaN
1514390400,5372.43,5377.2,5371.77,5371.77,NaN
1514448000,5367.7,5370.43,5353.21,5358.28,NaN
1514451600,5358.3,5367.94,5358.3,5364.78,NaN
1514455200,5364.81,5369.73,5362.2,5362.86,NaN
1514458800,5361.86,5368.64,5361.84,5367.52,NaN
1514462400,5367.56,5368.35,5358.69,5359.46,NaN
1514466000,5359.37,5362.39,5357,5358.12,NaN
1514469600,5358.33,5359.49,5353.14,5359.29,NaN
1514473200,5359.82,5360.83,5352.87,5354.15,NaN
1514476800,5354.42,5354.98,5331.16,5331.74,NaN
1514534400,5336.15,5344.05,5333.21,5343.03,NaN
1514538000,5342.82,5342.82,5330.1,5335.03,NaN
1514541600,5335.16,5335.92,5328.5,5334.04,NaN
1514545200,5333.92,5334.27,5323.04,5323.04,NaN
1514548800,5321.32,5330.44,5320.97,5329.09,NaN
