time,open,high,low,close,Volume
1485180000,11583.25,11594.62,11574.41,11579.42,2108
1485183600,11579.53,11584.8,11516.05,11517.72,2457
1485187200,11517.63,11551.42,11516.96,11550.79,1294
1485244800,11554.8,11572.79,11538.05,11540.9,2761
1485248400,11541.25,11583.7,11540.34,11575.4,2273
1485252000,11575.46,11585.31,11569.93,11575.69,2123
1485255600,11575.77,11580.96,11562.79,11562.79,1804
1485259200,11562.5,11573.06,11561.94,11565.52,1608
1485262800,11565.73,11574.62,11561.3,11573.68,1647
1485266400,11573.61,11578.96,11566.82,11572.26,2098
1485270000,11571.77,11585.02,11559.59,11575.53,2222
1485273600,11575.36,11592.09,11574.1,11589.46,1210
1485331200,11677.63,11755.4,11669.3,11745.62,3050
1485334800,11746.17,11749.77,11721.06,11724.14,2804
1485338400,11724.07,11750.88,11721.7,11746.91,2259
1485342000,11746.51,11754.81,11738.45,11753.3,1924
1485345600,11752.67,11778.2,11752.67,11778.2,1799
1485349200,11779.13,11789.72,11766.23,11787.2,2046
1485352800,11787.32,11809.78,11787.32,11809.78,2613
1485356400,11809.69,11819.71,11800.82,11813.38,2637
1485360000,11813.41,11827.73,11799.64,11827.05,1435
1485417600,11867.91,11893.08,11851.05,11861.31,2899
1485421200,11860.68,11878.46,11857.21,11876.24,2500
1485424800,11878.04,11880.31,11855.19,11866.5,2307
1485428400,11866.56,11868.68,11854.03,11864.91,1935
1485432000,11866.19,11869.87,11848.23,11850.01,1812
1485435600,11850.47,11858.4,11839.95,11851.64,1982
1485439200,11851.59,11855.39,11829.73,11841.15,2309
1485442800,11844.26,11852.58,11819.76,11826.41,2447
1485446400,11826.65,11843.41,11825.44,11839.23,1400
1485504000,11841.72,11844.68,11819.96,11829.71,2718
1485507600,11829.59,11830.21,11804.71,11810.11,2386
1485511200,11810.02,11822.91,11805.33,11813.91,2246
1485514800,11813.63,11825.08,11813.37,11815.41,1923
1485518400,11815.33,11833.11,11814.91,11831.83,1609
1485522000,11831.3,11832.54,11816.04,11822.85,1766
1485525600,11822.67,11824.34,11802.47,11803.59,2022
1485529200,11804.05,11815.98,11802.3,11803.8,2002
1485532800,11803.84,11811.41,11798.26,11810.16,1199
1485763200,11786.31,11792.33,11725.73,11730.92,2746
1485766800,11730.71,11750.81,11714.26,11722.88,2431
1485770400,11722.92,11729.08,11717.67,11722.93,1852
1485774000,11723.33,11732.08,11717.6,11723.72,1544
1485777600,11723.69,11735.86,11722.32,11727.39,1568
1485781200,11727.44,11738.13,11715.32,11730.29,1735
1485784800,11730.19,11732.28,11663.71,11688.64,2081
1485788400,11689.54,11695.13,11659.35,11673.83,2450
1485792000,11673.59,11691.06,11668.92,11673.35,1279
1485849600,11692.53,11716.64,11669.43,11712.76,2631
1485853200,11712.57,11733.16,11701.81,11720.16,2438
1485856800,11720.26,11723.35,11682.48,11703.92,2154
1485860400,11705.01,11710.46,11686.78,11691.79,1717
1485864000,11691.76,11699.21,11675.27,11684.56,1929
1485867600,11684.66,11704.35,11684.59,11695.75,1791
1485871200,11695.74,11698,11643.2,11647.93,2225
1485874800,11648.05,11649.88,11580.68,11580.82,2871
1485878400,11580.46,11593.8,11559.77,11562.89,1420
1485936000,11646.42,11660.45,11622.6,11632.98,2903
1485939600,11632.49,11649.71,11629.91,11649.07,2395
1485943200,11649.08,11657.66,11643.11,11645.98,2090
1485946800,11645.76,11657.11,11640.72,11641.72,1616
1485950400,11642.37,11657.33,11642.21,11655.56,1589
1485954000,11655.51,11690.9,11653.93,11687.08,2008
1485957600,11687.12,11723.39,11685.62,11701.72,2307
1485961200,11701.78,11711.72,11644.42,11650.83,2543
1485964800,11650.46,11666.09,11645.98,11647.78,1350
