time,open,high,low,close,Volume
1502463600,42.035,42.035,41.925,41.96,244
1502694000,42.015,42.22,42.015,42.2,3056
1502697600,42.2,42.245,42.2,42.21,2465
1502701200,42.21,42.225,42.19,42.215,1854
1502704800,42.21,42.245,42.21,42.245,2971
1502708400,42.225,42.255,42.2,42.235,7701
1502712000,42.215,42.245,42.19,42.24,6014
1502715600,42.22,42.345,42.195,42.345,5976
1502719200,42.365,42.445,42.35,42.445,4847
1502722800,42.44,42.44,42.405,42.425,5876
1502780400,42.63,42.635,42.545,42.545,2103
1502784000,42.475,42.515,42.475,42.515,865
1502787600,42.5,42.54,42.5,42.535,2310
1502791200,42.56,42.565,42.53,42.56,3109
1502794800,42.56,42.605,42.56,42.6,2093
1502798400,42.57,42.7,42.57,42.68,3537
1502802000,42.72,42.725,42.565,42.635,6707
1502805600,42.635,42.635,42.555,42.575,1471
1502809200,42.545,42.58,42.535,42.56,146
1502866800,42.62,42.645,42.585,42.585,4695
1502870400,42.75,42.765,42.7,42.7,1286
1502874000,42.68,42.72,42.68,42.72,4546
1502877600,42.79,42.79,42.77,42.77,24024
1502881200,42.785,42.79,42.715,42.765,4051
1502884800,42.74,42.86,42.705,42.75,3266
1502888400,42.825,42.825,42.815,42.815,1418
1502892000,42.825,42.825,42.775,42.81,6444
1502895600,42.82,42.82,42.785,42.785,201
1502953200,42.575,42.64,42.57,42.605,2114
1502956800,42.665,42.665,42.59,42.59,4622
1502960400,42.625,42.73,42.625,42.73,6352
1502964000,42.705,42.725,42.7,42.725,1330
1502967600,42.74,42.78,42.74,42.75,5835
1502971200,42.68,42.725,42.665,42.715,912
1502974800,42.66,42.68,42.605,42.605,1370
1502978400,42.57,42.57,42.445,42.445,709
1502982000,42.5,42.5,42.435,42.435,99
1503039600,42.09,42.15,42.03,42.15,4894
1503043200,42.12,42.135,42.025,42.035,17343
1503046800,42,42.08,41.99,42.08,3547
1503050400,42.085,42.115,42.085,42.11,902
1503054000,42.075,42.16,42.075,42.14,3961
1503057600,42.14,42.165,42.13,42.13,29138
1503061200,42.125,42.125,41.98,41.98,17697
1503064800,42,42.105,41.995,42.035,4755
1503068400,42,42.155,41.955,42.155,1813
1503298800,42.005,42.045,41.96,41.99,7064
1503302400,41.985,41.985,41.98,41.98,255
1503306000,41.995,42.035,41.975,42.035,878
